t,i1,i2,i3,sum
295.5,-0.1098655,4.16311347940221,-4.05324797940221,8.88178419700125e-16
295.75,0.295608,3.33370515876652,-3.62931315876652,8.88178419700125e-16
296,2.3436823,0.949994095213414,-3.29367639521341,0
296.25,3.1900804,0.0760841615669161,-3.26616456156692,-4.44089209850063e-16
296.5,3.5920904,0.0831986626951562,-3.67528906269516,-4.44089209850063e-16
296.75,3.7528944,0.0207612338636396,-3.77365563386364,-4.44089209850063e-16
297,3.9136984,0.0624261207448387,-3.97612452074484,0
297.25,3.9327595,0.069402880966374,-4.00216238096637,0
297.5,3.9941005,0.0222250707448386,-4.01632557074484,-8.88178419700125e-16
297.75,4.0296495,0.00445057074483879,-4.03410007074484,-8.88178419700125e-16
298,3.9941005,0.0273679626052128,-4.02146846260521,0
298.25,3.9301864,0.0541821207448385,-3.98436852074484,-4.44089209850063e-16
298.5,3.9179543,0.0602981707448387,-3.97825247074484,-4.44089209850063e-16
298.75,3.9941005,0.000574695457848939,-3.99467519545785,-4.44089209850063e-16
299,3.9941005,0.0222250707448386,-4.01632557074484,-8.88178419700125e-16
299.25,3.9801856,0.0291825207448386,-4.00936812074484,-8.88178419700125e-16
299.5,3.9872715,0.019725483262395,-4.0069969832624,0
299.75,3.8608692,0.0888407207448387,-3.94970992074484,-4.44089209850063e-16
300,3.9457839,0.0463833707448387,-3.99216727074484,-8.88178419700125e-16
300.25,3.9136984,0.0624261207448387,-3.97612452074484,0
300.5,3.9136984,0.000938317076143447,-3.91463671707614,-8.88178419700125e-16
300.75,3.9438443,-0.0222770037702376,-3.92156729622976,-8.88178419700125e-16
301,3.9645881,-0.00709050224613006,-3.95749759775387,-8.88178419700125e-16
301.25,3.9136984,-0.00720405377023758,-3.90649434622976,0
301.5,3.9256736,0.0564385207448386,-3.98211212074484,0
301.75,3.5920904,-0.431777021679812,-3.16031337832019,-4.44089209850063e-16
302,3.3508844,-2.51100438078346,-0.839880019216544,-1.11022302462516e-15
302.25,3.1962758,-3.40315723681046,0.20688143681046,-8.88178419700125e-16
302.5,3.6066387,-3.76556369361164,0.158924993611637,-1.11022302462516e-15
302.75,3.7528944,-3.96535269525991,0.212458295259912,-1.99840144432528e-15
303,3.9380646,-4.12756796977499,0.189503369774988,-1.55431223447522e-15
303.25,3.9941005,-4.15558591977499,0.161485419774988,-2.22044604925031e-15
303.5,4.0112219,-4.23377679429007,0.222554894290065,-1.77635683940025e-15
303.75,3.9941005,-4.22521609429007,0.231115594290065,-2.22044604925031e-15
304,3.9941005,-4.20634280266539,0.21224230266539,-1.77635683940025e-15
304.25,3.9941005,-4.15649455362864,0.162394053628639,-1.33226762955019e-15
304.5,3.9941005,-4.15558591977499,0.161485419774988,-2.22044604925031e-15
304.75,3.9941005,-4.15558591977499,0.161485419774988,-2.22044604925031e-15
305,3.9941005,-4.15558591977499,0.161485419774988,-2.22044604925031e-15
