t,id,iq,omega,gamma
-225.0000E-03,-186.8040E-03,-385.9359E-03,-4.1809045E+00,-2.8336683E+00
-224.7500E-03,-111.0717E-03,-402.0100E-03,-4.2566368E+00,-3.1599460E+00
-224.5000E-03,-186.8040E-03,-347.0215E-03,-4.1809045E+00,-3.3710689E+00
-224.2500E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,-3.5572864E+00
-224.0000E-03,-92.9010E-03,-321.6080E-03,-4.2478055E+00,-3.7849914E+00
-223.7500E-03,-33.2428E-03,-321.6080E-03,-4.1736617E+00,-4.1201005E+00
-223.5000E-03,-186.8040E-03,-80.4020E-03,-4.1809045E+00,-4.2809045E+00
-223.2500E-03,-218.4757E-03,-241.2060E-03,-4.1809045E+00,-4.4733802E+00
-223.0000E-03,-267.2060E-03,-321.6080E-03,-4.1809045E+00,-4.6829145E+00
-222.7500E-03,-257.3901E-03,-402.0100E-03,-4.1710886E+00,-5.0143384E+00
-222.5000E-03,-186.8040E-03,-321.6080E-03,-4.1005025E+00,-5.2457286E+00
-222.2500E-03,-186.8040E-03,-372.9115E-03,-4.1809045E+00,-5.4578361E+00
-222.0000E-03,-186.8040E-03,-321.6080E-03,-4.1088572E+00,-5.6477386E+00
-221.7500E-03,-118.7910E-03,-402.0100E-03,-4.1809045E+00,-5.9817357E+00
-221.5000E-03,-106.4020E-03,-402.0100E-03,-4.2613065E+00,-6.2105527E+00
-221.2500E-03,-26.0000E-03,-348.1335E-03,-4.1809045E+00,-6.5321607E+00
-221.0000E-03,-100.6203E-03,-321.6080E-03,-4.1809045E+00,-6.7733668E+00
-220.7500E-03,-26.0000E-03,-256.1681E-03,-4.1958666E+00,-6.9341708E+00
-220.5000E-03,-222.5099E-03,-80.4020E-03,-4.1362084E+00,-7.0949748E+00
-220.2500E-03,-267.2060E-03,-265.1584E-03,-4.1809045E+00,-7.4969848E+00
-220.0000E-03,-263.9975E-03,-318.3995E-03,-4.1809045E+00,-7.6577889E+00
-219.7500E-03,-186.8040E-03,-321.6080E-03,-4.2613065E+00,-7.8989949E+00
-219.5000E-03,-148.5250E-03,-321.6080E-03,-4.1809045E+00,-8.0597989E+00
-219.2500E-03,-127.7812E-03,-321.6080E-03,-4.1005025E+00,+7.5381909E+00
-219.0000E-03,-186.1686E-03,-321.6080E-03,-4.1809045E+00,+7.2969848E+00
