second,CH1,CH2,CH3,CH4
-0.1531,-0.009493,-0.160804,-4.1809045,2.8583673
-0.15285,-0.0217632,-0.1650408,-4.1047392,2.6336683
-0.1526,0.0294215,-0.241206,-4.2363259,2.2316583
-0.15235,-0.026,-0.241206,-4.2613065,2.0708542
-0.1521,-0.026,-0.241206,-4.2613065,1.9100502
-0.15185,-0.106402,-0.2343961,-4.1809045,1.5012303
-0.1516,-0.186804,-0.160804,-4.2613065,1.2668342
-0.15135,-0.2189086,-0.160804,-4.1809045,1.1060301
-0.1511,-0.186804,-0.160804,-4.2613065,0.9452261
-0.15085,-0.186804,-0.241206,-4.1809045,0.5432161
-0.1506,-0.186804,-0.241206,-4.1809045,0.3824121
-0.15035,-0.2163355,-0.2707375,-4.1809045,0.141206
-0.1501,-0.186804,-0.3128204,-4.1809045,-0.019598
-0.14985,-0.267206,-0.321608,-4.2493504,-0.421608
-0.1496,-0.267206,-0.321608,-4.1005025,-0.5824121
-0.14935,-0.186804,-0.2681644,-4.1809045,-0.9309784
-0.1491,-0.1930186,-0.241206,-4.1809045,-1.1452261
-0.14885,-0.267206,-0.160804,-4.2613065,-1.3060301
-0.1486,-0.222077,-0.080402,-4.1809045,-1.5021072
-0.14835,-0.3232228,-0.1047872,-4.2369213,-1.8688442
-0.1481,-0.347608,-0.1571626,-4.1809045,-2.1064088
-0.14785,-0.347608,-0.2241037,-4.2613065,-2.2708542
-0.1476,-0.3901639,-0.160804,-4.2234604,-2.4316583
-0.14735,-0.42801,-0.1389919,-4.1809045,-2.8336683
-0.1471,-0.42801,-0.1597357,-4.2602382,-2.9944723
-0.14685,-0.3672835,-0.1411286,-4.161229,-3.1749518
-0.1466,-0.347608,-0.080402,-4.1809045,-3.4369016
-0.14635,-0.286445,-0.141565,-4.1616655,-3.7792534
-0.1461,-0.267206,-0.080402,-4.1005025,-3.9592964
-0.14585,-0.267206,0,-4.1809045,-4.3031531
-0.1456,-0.347608,0,-4.2613065,-4.4791182
-0.14535,-0.347608,0.080402,-4.1809045,-4.6829145
-0.1451,-0.4239321,0,-4.2613065,-4.8437185
-0.14485,-0.3724297,0.080402,-4.1809045,-5.2457286
-0.1446,-0.347608,0.080402,-4.1809045,-5.4869346
-0.14435,-0.347608,0.0663093,-4.1949972,-5.6477386
-0.1441,-0.347608,0,-4.1809045,-5.8085427
-0.14385,-0.2946008,0.0530072,-4.1809045,-6.2105527
-0.1436,-0.2994695,0,-4.1809045,-6.3713567
-0.14335,-0.267206,0,-4.1809045,-6.5321607
-0.1431,0.134804,-0.4112342,-4.1901286,-6.7733668
-0.14285,0.7480522,-1.5576061,-4.1005025,-7.1753768
-0.1426,0.9685144,-2.0904522,-4.1809045,-7.3361808
