x-axis,1,2,3,4
-90.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-90.0000E-03,-186.8040E-03,-241.2060E-03,-165.4340E-03,+623.6181E-03
-89.7500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-89.5000E-03,-186.8040E-03,-206.9215E-03,-160.8040E-03,+623.6181E-03
-89.2500E-03,-119.9427E-03,-174.3447E-03,-160.8040E-03,+610.0774E-03
-89.0000E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+623.6181E-03
-88.7500E-03,-186.8040E-03,-241.2060E-03,-213.2592E-03,+623.6181E-03
-88.5000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+574.9275E-03
-88.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+612.6505E-03
-88.0000E-03,-186.8040E-03,-231.4299E-03,-231.4299E-03,+623.6181E-03
-87.7500E-03,-186.8040E-03,-191.3240E-03,-160.8040E-03,+593.0981E-03
-87.5000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+572.3543E-03
-87.2500E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-87.0000E-03,-186.8040E-03,-173.1533E-03,-173.1533E-03,+623.6181E-03
-86.7500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+623.6181E-03
-86.5000E-03,-186.8040E-03,-187.3692E-03,-160.8040E-03,+623.6181E-03
-86.2500E-03,-186.8040E-03,-160.8040E-03,-160.8040E-03,+623.6181E-03
-86.0000E-03,-186.8040E-03,-226.2836E-03,-160.8040E-03,+623.6181E-03
-85.7500E-03,-151.1378E-03,-160.8040E-03,-160.8040E-03,+623.6181E-03
-85.5000E-03,-186.8040E-03,-241.2060E-03,-160.8040E-03,+623.6181E-03
-85.2500E-03,-186.8040E-03,-241.2060E-03,-157.5558E-03,+382.4121E-03
-85.0000E-03,-186.8040E-03,-178.2995E-03,-321.6080E-03,+399.9076E-03
-84.7500E-03,-186.8040E-03,-199.0433E-03,-321.6080E-03,+462.8141E-03
-84.5000E-03,-186.8040E-03,-160.8040E-03,-321.6080E-03,+403.8310E-03
-84.2500E-03,-187.4792E-03,-80.4020E-03,-321.6080E-03,+303.3603E-03
-84.0000E-03,-206.8727E-03,-80.4020E-03,-261.2747E-03,+402.4807E-03
-83.7500E-03,-267.2060E-03,+0.0E+00,-280.7956E-03,+382.4121E-03
-83.5000E-03,-248.3602E-03,+0.0E+00,-241.2060E-03,+443.9682E-03
-83.2500E-03,-265.3081E-03,+0.0E+00,-241.2060E-03,+460.9161E-03
-83.0000E-03,-244.5643E-03,+22.6417E-03,-241.2060E-03,+462.8141E-03
-82.7500E-03,-223.8205E-03,+43.3855E-03,-241.2060E-03,+425.7976E-03
-82.5000E-03,-250.9333E-03,+80.4020E-03,-241.2060E-03,+462.8141E-03
-82.2500E-03,-262.7349E-03,+80.4020E-03,-317.1370E-03,+382.4121E-03
-82.0000E-03,-212.0189E-03,+80.4020E-03,-241.2060E-03,+382.4121E-03
-81.7500E-03,-221.2474E-03,+45.9586E-03,-241.2060E-03,+428.3707E-03
-81.5000E-03,-253.5064E-03,+80.4020E-03,-254.9056E-03,+449.1145E-03
-81.2500E-03,-267.2060E-03,+80.4020E-03,-241.2060E-03,+382.4121E-03
-81.0000E-03,-267.2060E-03,+80.4020E-03,-213.4180E-03,+382.4121E-03
