t,id,iq,omega,uzk
-218.0000E-03,-186.8040E-03,+0.0E+00,+3.7808321E+00,+324.7451327E+00
-217.7500E-03,-209.4855E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-217.5000E-03,-267.2060E-03,+36.9768E-03,+3.7788944E+00,+326.4970870E+00
-217.2500E-03,-186.8040E-03,+144.5710E-03,+3.7788944E+00,+324.6482487E+00
-217.0000E-03,-182.2932E-03,+160.8040E-03,+3.7788944E+00,+328.4428094E+00
-216.7500E-03,-186.8040E-03,+160.8040E-03,+3.8340419E+00,+324.6482487E+00
-216.5000E-03,-186.8040E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-216.2500E-03,-186.8040E-03,+160.8040E-03,+3.8592964E+00,+324.6482487E+00
-216.0000E-03,-179.7201E-03,+160.8040E-03,+3.7788944E+00,+325.0024443E+00
-215.7500E-03,-106.4020E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-215.5000E-03,-186.8040E-03,+80.4020E-03,+3.8274659E+00,+324.6482487E+00
-215.2500E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+328.1140116E+00
-215.0000E-03,-257.5490E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-214.7500E-03,-236.8052E-03,+110.8028E-03,+3.6984924E+00,+326.1682891E+00
-214.5000E-03,-216.0614E-03,+160.8040E-03,+3.8300390E+00,+327.2054782E+00
-214.2500E-03,-186.8040E-03,+169.3177E-03,+3.7070061E+00,+324.6482487E+00
-214.0000E-03,-186.8040E-03,+241.2060E-03,+3.7788944E+00,+324.6482487E+00
-213.7500E-03,-219.7779E-03,+241.2060E-03,+3.8592964E+00,+324.6482487E+00
-213.5000E-03,-186.8040E-03,+214.5217E-03,+3.8592964E+00,+328.6683493E+00
-213.2500E-03,-186.8040E-03,+160.8040E-03,+3.7848350E+00,+324.6482487E+00
-213.0000E-03,-186.8040E-03,+80.4020E-03,+3.8592964E+00,+327.9281863E+00
-212.7500E-03,-222.3511E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-212.5000E-03,-267.2060E-03,-80.4020E-03,+3.7788944E+00,+324.6482487E+00
-212.2500E-03,-190.1714E-03,+0.0E+00,+3.8592964E+00,+324.6482487E+00
-212.0000E-03,-267.2060E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-211.7500E-03,-229.0859E-03,+42.2819E-03,+3.8592964E+00,+326.7623415E+00
-211.5000E-03,-186.8040E-03,+0.0E+00,+3.7788944E+00,+323.5713450E+00
-211.2500E-03,-186.8040E-03,+794.3E-06,+3.8585021E+00,+324.6482487E+00
-211.0000E-03,-186.8040E-03,+80.4020E-03,+3.8393470E+00,+324.6482487E+00
-210.7500E-03,-226.5128E-03,+39.7087E-03,+3.7788944E+00,+324.6482487E+00
-210.5000E-03,-248.2411E-03,+61.4371E-03,+3.8403315E+00,+324.6482487E+00
-210.2500E-03,-265.4272E-03,+0.0E+00,+3.7788944E+00,+328.5794081E+00
-210.0000E-03,-244.6834E-03,+0.0E+00,+3.8592964E+00,+327.5422190E+00
-209.7500E-03,-186.8040E-03,-80.4020E-03,+3.7788944E+00,+322.7914674E+00
-209.5000E-03,-203.1959E-03,-80.4020E-03,+3.7788944E+00,+328.6683493E+00
-209.2500E-03,-191.1560E-03,+0.0E+00,+3.8592964E+00,+324.6482487E+00
-209.0000E-03,-267.2060E-03,+25.0957E-03,+3.7788944E+00,+325.9030347E+00
-208.7500E-03,-186.8040E-03,+80.4020E-03,+3.8247339E+00,+324.6482487E+00
-208.5000E-03,-186.8040E-03,+80.4020E-03,+3.6984924E+00,+328.6683493E+00
-208.2500E-03,-186.8040E-03,+160.8040E-03,+3.8523714E+00,+324.9945014E+00
-208.0000E-03,-186.8040E-03,+108.0708E-03,+3.7788944E+00,+324.6482487E+00
-207.7500E-03,-186.8040E-03,+160.8040E-03,+3.7304818E+00,+324.6482487E+00
-207.5000E-03,-117.6476E-03,+149.5584E-03,+3.7788944E+00,+324.6482487E+00
-207.2500E-03,-186.8040E-03,+80.4020E-03,+3.7788944E+00,+324.6482487E+00
-207.0000E-03,-236.9641E-03,+0.0E+00,+3.7788944E+00,+324.6482487E+00
-206.7500E-03,-237.7898E-03,+29.4163E-03,+3.7494782E+00,+327.1975353E+00
-206.5000E-03,-267.2060E-03,+0.0E+00,+3.7071649E+00,+328.6683493E+00
-206.2500E-03,-267.2060E-03,+148.7327E-03,+3.8472252E+00,+324.6482487E+00
-206.0000E-03,-186.8040E-03,+160.8040E-03,+3.6984924E+00,+324.6482487E+00
-205.7500E-03,-133.2452E-03,+160.8040E-03,+3.7788944E+00,+327.3261911E+00
-205.5000E-03,-186.8040E-03,+166.9034E-03,+3.7727951E+00,+324.6482487E+00
-205.2500E-03,-186.8040E-03,+241.2060E-03,+3.8446520E+00,+324.6482487E+00
-205.0000E-03,-151.4158E-03,+160.8040E-03,+3.7788944E+00,+324.6482487E+00
-204.7500E-03,-106.4020E-03,+160.8040E-03,+3.7227625E+00,+325.8617511E+00
-204.5000E-03,-186.8040E-03,+160.8040E-03,+3.7824207E+00,+324.6482487E+00
-204.2500E-03,-169.5865E-03,+17.2175E-03,+3.6984924E+00,+324.6482487E+00
-204.0000E-03,-229.2447E-03,+80.4020E-03,+3.8213351E+00,+324.6482487E+00
-203.7500E-03,-267.2060E-03,+80.4020E-03,+3.8592964E+00,+325.7330953E+00
