x-axis,1,2,3,4
-37.700E-03,-221.688E-03,-195.688E-03,-195.688E-03,-7.094975E+00
-37.600E-03,-250.894E-03,-224.894E-03,-160.804E-03,-7.094975E+00
-37.500E-03,-186.804E-03,-238.945E-03,-241.206E-03,-7.094975E+00
-37.400E-03,-207.638E-03,-181.638E-03,-181.638E-03,-7.074141E+00
-37.300E-03,-267.206E-03,-201.799E-03,-200.211E-03,-7.055568E+00
-37.200E-03,-186.804E-03,-183.226E-03,-160.804E-03,-7.072553E+00
-37.100E-03,-186.804E-03,-164.653E-03,-160.804E-03,-7.091126E+00
-37.000E-03,-201.528E-03,-241.206E-03,-160.804E-03,-7.029296E+00
-36.900E-03,-233.910E-03,-241.206E-03,-160.804E-03,-7.094975E+00
-36.800E-03,-215.337E-03,-241.206E-03,-212.673E-03,-7.014573E+00
-36.700E-03,-257.246E-03,-231.246E-03,-160.804E-03,-7.014573E+00
-36.600E-03,-267.206E-03,-241.206E-03,-232.593E-03,-7.094975E+00
-36.500E-03,-213.990E-03,-241.206E-03,-187.990E-03,-7.094975E+00
-36.400E-03,-221.447E-03,-206.563E-03,-241.206E-03,-7.094975E+00
-36.300E-03,-267.206E-03,-241.206E-03,-241.206E-03,-7.078904E+00
-36.200E-03,-189.307E-03,-241.206E-03,-160.804E-03,-7.092472E+00
-36.100E-03,-207.879E-03,-241.206E-03,-160.804E-03,-7.073899E+00
-36.000E-03,-186.804E-03,-241.206E-03,-160.804E-03,-7.054221E+00
-35.900E-03,-186.804E-03,-241.206E-03,-219.025E-03,-7.072794E+00
-35.800E-03,-190.412E-03,-241.206E-03,-241.206E-03,-7.094975E+00
-35.700E-03,-186.804E-03,-241.206E-03,-241.206E-03,-7.014573E+00
-35.600E-03,-233.668E-03,-241.206E-03,-194.342E-03,-7.094975E+00
-35.500E-03,-186.804E-03,-241.206E-03,-160.804E-03,-7.094975E+00
-35.400E-03,-186.804E-03,-241.206E-03,-231.487E-03,-7.094975E+00
-35.300E-03,-186.804E-03,-241.206E-03,-160.804E-03,-7.094975E+00
-35.200E-03,-214.231E-03,-241.206E-03,-160.804E-03,-7.094975E+00
-35.100E-03,-232.804E-03,-241.206E-03,-160.804E-03,-7.014573E+00
-35.000E-03,-251.377E-03,-241.206E-03,-160.804E-03,-7.030402E+00
-34.900E-03,-267.206E-03,-241.206E-03,-238.462E-03,-7.017316E+00
-34.800E-03,-186.804E-03,-241.206E-03,-160.804E-03,-7.094975E+00
-34.700E-03,-227.317E-03,-281.719E-03,-160.804E-03,-7.094975E+00
-34.600E-03,-186.804E-03,-263.146E-03,-219.266E-03,-7.094975E+00
-34.500E-03,-190.171E-03,-241.206E-03,-164.171E-03,-7.091608E+00
-34.400E-03,-186.804E-03,-241.206E-03,-160.804E-03,-7.094975E+00
-34.300E-03,-220.583E-03,-241.206E-03,-160.804E-03,-7.094975E+00
-34.200E-03,-186.804E-03,-321.608E-03,-160.804E-03,-7.094975E+00
-34.100E-03,-257.729E-03,-312.131E-03,-160.804E-03,-7.024050E+00
-34.000E-03,-186.804E-03,-321.608E-03,-160.804E-03,-7.255779E+00
-33.900E-03,-186.804E-03,-241.206E-03,-321.608E-03,-7.255779E+00
-33.800E-03,-267.206E-03,-241.206E-03,-321.608E-03,-7.221618E+00
-33.700E-03,-186.804E-03,-321.608E-03,-321.608E-03,-7.255779E+00
-33.600E-03,-264.221E-03,-241.206E-03,-321.608E-03,-7.255779E+00
-33.500E-03,-186.804E-03,-241.206E-03,-321.608E-03,-7.196935E+00
-33.400E-03,-227.075E-03,-160.804E-03,-321.608E-03,-7.296050E+00
-33.300E-03,-186.804E-03,-160.804E-03,-321.608E-03,-7.255779E+00
-33.200E-03,-189.930E-03,-160.804E-03,-321.608E-03,-7.255779E+00
-33.100E-03,-251.759E-03,-160.804E-03,-256.653E-03,-7.255779E+00
-33.000E-03,-267.206E-03,-160.804E-03,-321.608E-03,-7.255779E+00
-32.900E-03,-186.804E-03,-108.211E-03,-321.608E-03,-7.255779E+00
-32.800E-03,-196.040E-03,-160.804E-03,-321.608E-03,-7.184613E+00
-32.700E-03,-257.869E-03,-80.402E-03,-321.608E-03,-7.255779E+00
-32.600E-03,-186.804E-03,-160.804E-03,-293.699E-03,-7.283688E+00
-32.500E-03,-267.206E-03,-80.402E-03,-275.126E-03,-7.255779E+00
-32.400E-03,-186.804E-03,-80.402E-03,-306.261E-03,-7.255779E+00
-32.300E-03,-186.804E-03,-80.402E-03,-244.432E-03,-7.255779E+00
-32.200E-03,-186.804E-03,-80.402E-03,-321.608E-03,-7.255779E+00
-32.100E-03,-186.804E-03,-40.372E-03,-241.206E-03,-7.255779E+00
-32.000E-03,-208.261E-03,-80.402E-03,-241.206E-03,-7.196834E+00
-31.900E-03,-267.206E-03,+0.0E+00,-241.206E-03,-7.255779E+00
-31.800E-03,-186.804E-03,-80.402E-03,-241.206E-03,-7.255779E+00
-31.700E-03,-186.804E-03,+0.0E+00,-241.206E-03,-7.255779E+00
-31.600E-03,-186.804E-03,-80.402E-03,-294.040E-03,-7.175377E+00
-31.500E-03,-195.799E-03,-71.407E-03,-241.206E-03,-7.255779E+00
-31.400E-03,-186.804E-03,-9.578E-03,-241.206E-03,-7.255779E+00
-31.300E-03,-267.206E-03,-80.402E-03,-269.357E-03,-7.255779E+00
-31.200E-03,-186.804E-03,+0.0E+00,-241.206E-03,-7.255779E+00
-31.100E-03,-186.804E-03,-15.106E-03,-241.206E-03,-7.255779E+00
-31.000E-03,-267.206E-03,-76.935E-03,-241.206E-03,-7.252312E+00
-30.900E-03,-186.804E-03,+0.0E+00,-219.166E-03,-7.233739E+00
-30.800E-03,-186.804E-03,+0.0E+00,-321.608E-03,-7.215166E+00
-30.700E-03,-186.804E-03,-21.216E-03,-262.422E-03,-7.255779E+00
-30.600E-03,-189.447E-03,+0.0E+00,-241.206E-03,-7.255779E+00
-30.500E-03,-186.804E-03,+0.0E+00,-241.206E-03,-7.255779E+00
-30.400E-03,-221.307E-03,-80.402E-03,-241.206E-03,-7.255779E+00
