x-axis,1,2,3,4
-146.2500E-03,-186.8040E-03,-80.4020E-03,-80.4020E-03,+3.2768844E+00
-146.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-145.7500E-03,-186.8040E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-145.5000E-03,-186.8040E-03,-80.4020E-03,-221.1055E-03,+3.2165829E+00
-145.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-145.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-144.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-144.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-144.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-144.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-143.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-143.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-143.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-143.0000E-03,-206.9045E-03,-20.1005E-03,-160.8040E-03,+3.2165829E+00
-142.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-142.5000E-03,-206.9045E-03,-140.7035E-03,-160.8040E-03,+3.2768844E+00
-142.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-142.0000E-03,-186.8040E-03,-80.4020E-03,-221.1055E-03,+3.1964824E+00
-141.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-141.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-141.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-141.0000E-03,-186.8040E-03,-20.1005E-03,-221.1055E-03,+3.2165829E+00
-140.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-140.5000E-03,-186.8040E-03,-60.3015E-03,-180.9045E-03,+3.2165829E+00
-140.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-140.0000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-139.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-139.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-139.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-139.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-138.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-138.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-138.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
